SK_ESCOLA,NO_ENTIDADE,CO_MUNICIPIO,SG_UF,NM_REGIAO,TP_LOCALIZACAO,IDHM,SEL_RECOMENDADO,SCORE_ADERENCIA_SELO
35000409,Liceu Dom Bosco 410,4304606,RS,Sul,1,0.782,Compartilha,61.31
35000618,Centro Educacional Dom Bosco 619,2304400,CE,Nordeste,1,0.754,Farias Brito,61.34
35000591,Centro Educacional Dom Bosco 592,1501402,PA,Norte,2,0.746,Compartilha,63.01
35000841,Liceu Pionero 842,4209102,SC,Sul,1,0.809,Uno,70.27
35000317,Escola Santo Agostinho 318,2933307,BA,Nordeste,1,0.718,Compartilha,57.04
35000543,Colégio Santo Agostinho 544,4205407,SC,Sul,2,0.847,Kepler,57.4
35000028,Liceu Alfa 29,5300108,DF,Centro-Oeste,1,0.824,Compartilha,48.6
35000064,Liceu Saber 65,2111300,MA,Nordeste,1,0.768,Compartilha,57.48
35000418,Instituto de Ensino Fênix 419,2609600,PE,Nordeste,1,0.735,Kepler,55.52
35000564,Liceu Fênix 565,3304557,RJ,Sudeste,1,0.799,Uno,65.52
35000844,Instituto de Ensino Objetivo 845,2910800,BA,Nordeste,1,0.712,Farias Brito,74.05
35001097,Academia Albert Einstein 1098,3136702,MG,Sudeste,1,0.778,Compartilha,57.83
35000752,Academia Integral 753,2313500,CE,Nordeste,1,0.714,Farias Brito,60.27
35000579,Colégio Albert Einstein 580,2927408,BA,Nordeste,2,0.759,Farias Brito,63.46
35000362,Colégio Progresso 363,5002704,MS,Centro-Oeste,1,0.784,Uno,57.59
35000293,Academia Anchieta 294,1302603,AM,Norte,1,0.737,Kepler,62.92
35000460,Colégio Santo Agostinho 461,2111300,MA,Nordeste,1,0.768,Farias Brito,61.44
35000823,Instituto de Ensino Objetivo 824,2111300,MA,Nordeste,1,0.768,Kepler,61.87
35001002,Academia São José 1003,4314902,RS,Sul,1,0.805,Kepler,61.42
35000415,Centro Educacional Futuro 416,2910800,BA,Nordeste,1,0.712,Farias Brito,71.51
35000073,Instituto de Ensino Dom Bosco 74,3170206,MG,Sudeste,1,0.789,Uno,69.36
35000847,Instituto de Ensino Saber 848,2609600,PE,Nordeste,1,0.735,Compartilha,57.03
35000746,Escola Objetivo 747,2933307,BA,Nordeste,1,0.718,Compartilha,57.45
35000930,Liceu Albert Einstein 931,3106200,MG,Sudeste,1,0.81,Uno,58.51
35000344,Centro Educacional Saber 345,4316907,RS,Sul,1,0.784,Uno,62.72
35000299,Academia Fênix 300,3549805,SP,Sudeste,1,0.807,Kepler,54.45
35000811,Liceu Futuro 812,2910800,BA,Nordeste,1,0.712,Farias Brito,65.78
35000892,Instituto de Ensino Objetivo 893,3509502,SP,Sudeste,1,0.805,Compartilha,55.23
35000076,Academia Exponencial 77,4113700,PR,Sul,2,0.788,Compartilha,65.51
35000978,Colégio Albert Einstein 979,2611606,PE,Nordeste,1,0.772,Kepler,62.42
35000088,Instituto de Ensino São José 89,2609600,PE,Nordeste,1,0.735,Farias Brito,70.14
35000537,Centro Educacional Marista 538,4106902,PR,Sul,1,0.823,Uno,68.32
35000454,Escola Saber 455,2304202,CE,Nordeste,1,0.713,Farias Brito,59.79
35000365,Colégio Alfa 366,3549805,SP,Sudeste,2,0.807,Uno,62.4
35000630,Liceu São José 631,3304557,RJ,Sudeste,1,0.799,Compartilha,59.45
35000871,Instituto de Ensino Saber 872,4304606,RS,Sul,1,0.782,Uno,68.85
35000716,Centro Educacional Integral 717,2611101,PE,Nordeste,1,0.697,Farias Brito,54.28
35000171,Centro Educacional Santo Agostinho 172,3106200,MG,Sudeste,1,0.81,Kepler,60.41
35001157,Colégio Dom Bosco 1158,3549805,SP,Sudeste,1,0.807,Kepler,58.42
35000165,Liceu Anchieta 166,3550308,SP,Sudeste,2,0.805,Uno,60.0
35000457,Escola Progresso 458,5300108,DF,Centro-Oeste,1,0.824,Uno,59.13
35000808,Centro Educacional Objetivo 809,4209102,SC,Sul,1,0.809,Kepler,53.79
35000933,Escola Elite 934,4106902,PR,Sul,1,0.823,Uno,60.4
35001192,Instituto de Ensino Nossa Senhora 1193,3301702,RJ,Sudeste,1,0.711,Compartilha,54.01
35000749,Escola Elite 750,2611101,PE,Nordeste,1,0.697,Farias Brito,57.54
35000549,Colégio Integral 550,2611606,PE,Nordeste,1,0.772,Uno,56.41
35000713,Centro Educacional Vanguard 714,2933307,BA,Nordeste,1,0.718,Farias Brito,71.08
35000475,Escola Anchieta 476,4304606,RS,Sul,1,0.782,Uno,54.08
35000287,Colégio Integral 288,2611101,PE,Nordeste,1,0.697,Farias Brito,60.13
35000874,Centro Educacional Dom Bosco 875,4209102,SC,Sul,1,0.809,Kepler,60.17
35000097,Liceu Elite 98,2111300,MA,Nordeste,1,0.768,Farias Brito,68.66
35000022,Academia Futuro 23,2609600,PE,Nordeste,1,0.735,Farias Brito,62.75
35000275,Academia Objetivo 276,4118204,PR,Sul,1,0.75,Farias Brito,67.53
35000329,Escola São José 330,5002704,MS,Centro-Oeste,2,0.784,Uno,56.91
35000338,Academia Nossa Senhora 339,3136702,MG,Sudeste,2,0.778,Kepler,59.65
35000106,Centro Educacional Marista 107,3170206,MG,Sudeste,1,0.789,Kepler,66.8
35000496,Centro Educacional Integral 497,3509502,SP,Sudeste,1,0.805,Compartilha,61.07
35001014,Liceu Anchieta 1015,2304400,CE,Nordeste,1,0.754,Farias Brito,67.79
35000987,Instituto de Ensino Nossa Senhora 988,1501402,PA,Norte,1,0.746,Kepler,59.15
35000677,Instituto de Ensino Progresso 678,4202404,SC,Sul,1,0.806,Kepler,61.37
35001145,Academia Vanguard 1146,2611101,PE,Nordeste,1,0.697,Farias Brito,65.68
35000695,Centro Educacional Alfa 696,3549805,SP,Sudeste,2,0.807,Kepler,58.56
35000082,Colégio Albert Einstein 83,4209102,SC,Sul,1,0.809,Kepler,57.89
35001154,Centro Educacional Exponencial 1155,5002704,MS,Centro-Oeste,1,0.784,Kepler,67.75
35000945,Liceu Fênix 946,2611606,PE,Nordeste,1,0.772,Compartilha,65.62
35000427,Escola Anchieta 428,2111300,MA,Nordeste,1,0.768,Compartilha,66.38
35000225,Centro Educacional Albert Einstein 226,5208707,GO,Centro-Oeste,1,0.799,Kepler,66.5
35000954,Centro Educacional Anchieta 955,1501402,PA,Norte,1,0.746,Farias Brito,65.74
35000046,Academia Pionero 47,4304606,RS,Sul,1,0.782,Kepler,63.77
35000237,Instituto de Ensino Exponencial 238,3106200,MG,Sudeste,1,0.81,Kepler,63.06
35000162,Liceu Marista 163,1501402,PA,Norte,1,0.746,Compartilha,63.11
35000814,Colégio Elite 815,2609600,PE,Nordeste,1,0.735,Kepler,54.23
35001064,Colégio Integral 1065,3136702,MG,Sudeste,1,0.778,Uno,60.45
35000692,Escola Futuro 693,5002704,MS,Centro-Oeste,2,0.784,Kepler,66.76
35000359,Escola Integral 360,1302603,AM,Norte,1,0.737,Kepler,65.62
35000204,Centro Educacional Objetivo 205,3106200,MG,Sudeste,1,0.81,Uno,61.98
35000880,Centro Educacional Objetivo 881,2609600,PE,Nordeste,1,0.735,Farias Brito,64.31
35000761,Colégio Futuro 762,3549805,SP,Sudeste,1,0.807,Uno,72.88
35000725,Colégio Fênix 726,5002704,MS,Centro-Oeste,1,0.784,Uno,62.12
35000758,Colégio Marista 759,5002704,MS,Centro-Oeste,1,0.784,Kepler,65.2
35001109,Academia Alfa 1110,2933307,BA,Nordeste,1,0.718,Kepler,55.26
35000213,Instituto de Ensino Santo Agostinho 214,4205407,SC,Sul,1,0.847,Kepler,55.65
35000707,Escola Futuro 708,4316907,RS,Sul,1,0.784,Uno,66.37
35001070,Colégio Santa Cruz 1071,4316907,RS,Sul,1,0.784,Kepler,58.98
35000820,Instituto de Ensino Santo Agostinho 821,5300108,DF,Centro-Oeste,1,0.824,Uno,50.91
35000889,Instituto de Ensino Santa Cruz 890,2111300,MA,Nordeste,1,0.768,Farias Brito,56.58
35000177,Academia Alfa 178,4314902,RS,Sul,1,0.805,Compartilha,59.04
35000853,Instituto de Ensino Integral 854,5300108,DF,Centro-Oeste,1,0.824,Uno,53.08
35000326,Colégio Anchieta 327,1302603,AM,Norte,1,0.737,Compartilha,59.73
35000838,Centro Educacional Progresso 839,4304606,RS,Sul,2,0.782,Kepler,59.22
35000936,Academia Santa Cruz 937,4314902,RS,Sul,1,0.805,Uno,62.51
35000999,Colégio Pionero 1000,4106902,PR,Sul,1,0.823,Kepler,55.69
35001005,Centro Educacional Vanguard 1006,4205407,SC,Sul,1,0.847,Kepler,56.87
35000198,Academia Elite 199,3550308,SP,Sudeste,2,0.805,Uno,76.74
35000835,Academia Vanguard 836,4113700,PR,Sul,1,0.788,Uno,59.44
35000826,Instituto de Ensino Marista 827,3509502,SP,Sudeste,1,0.805,Uno,73.36
35001121,Instituto de Ensino Exponencial 1122,5002704,MS,Centro-Oeste,1,0.784,Kepler,60.6
35000606,Colégio Marista 607,4314902,RS,Sul,1,0.805,Uno,70.65
35000615,Liceu Anchieta 616,2611606,PE,Nordeste,1,0.772,Kepler,60.89
35000481,Escola Vanguard 482,2910800,BA,Nordeste,1,0.712,Kepler,53.64
35000555,Colégio Objetivo 556,5208707,GO,Centro-Oeste,2,0.799,Kepler,60.31
35000951,Escola Exponencial 952,5208707,GO,Centro-Oeste,1,0.799,Compartilha,66.34
35000975,Escola Saber 976,2927408,BA,Nordeste,1,0.759,Compartilha,52.74
35000487,Instituto de Ensino Futuro 488,2304202,CE,Nordeste,1,0.713,Farias Brito,72.05
35000335,Instituto de Ensino Nossa Senhora 336,3303302,RJ,Sudeste,1,0.837,Kepler,51.13
35000701,Escola Alfa 702,3136702,MG,Sudeste,1,0.778,Farias Brito,64.54
35000963,Liceu Saber 964,3106200,MG,Sudeste,1,0.81,Uno,71.68
35001091,Centro Educacional Alfa 1092,3549805,SP,Sudeste,1,0.807,Uno,63.29
35000561,Escola Futuro 562,3550308,SP,Sudeste,1,0.805,Uno,66.31
35000350,Colégio Santa Cruz 351,2933307,BA,Nordeste,1,0.718,Compartilha,54.22
35000341,Liceu Futuro 342,4118204,PR,Sul,1,0.75,Kepler,62.23
35000710,Escola Fênix 711,4202404,SC,Sul,2,0.806,Compartilha,72.64
35000353,Liceu Futuro 354,2611101,PE,Nordeste,1,0.697,Kepler,52.84
35000189,Academia Futuro 190,2304400,CE,Nordeste,1,0.754,Farias Brito,70.44
35000195,Liceu Vanguard 196,1501402,PA,Norte,1,0.746,Farias Brito,67.41
35000939,Instituto de Ensino São José 940,4205407,SC,Sul,1,0.847,Uno,62.77
35000558,Academia Pionero 559,1501402,PA,Norte,1,0.746,Farias Brito,70.62
35001088,Instituto de Ensino Nossa Senhora 1089,5002704,MS,Centro-Oeste,1,0.784,Compartilha,67.51
35000040,Colégio Pionero 41,3170206,MG,Sudeste,1,0.789,Uno,70.28
35000228,Centro Educacional São José 229,1501402,PA,Norte,2,0.746,Farias Brito,69.73
35000308,Colégio Elite 309,4118204,PR,Sul,1,0.75,Farias Brito,63.26
35000013,Academia Santo Agostinho 14,4304606,RS,Sul,1,0.782,Kepler,67.88
35000499,Colégio Pionero 500,3301702,RJ,Sudeste,1,0.711,Farias Brito,61.04
35000168,Academia Saber 169,3304557,RJ,Sudeste,1,0.799,Compartilha,60.34
35000037,Colégio Progresso 38,3301702,RJ,Sudeste,1,0.711,Compartilha,54.16
35000219,Instituto de Ensino Santa Cruz 220,2611606,PE,Nordeste,1,0.772,Farias Brito,65.18
35000290,Liceu Anchieta 291,2313500,CE,Nordeste,1,0.714,Farias Brito,63.12
35000805,Liceu Futuro 806,4304606,RS,Sul,1,0.782,Kepler,65.8
35000850,Centro Educacional Integral 851,2304202,CE,Nordeste,1,0.713,Kepler,52.39
35000347,Colégio Saber 348,4202404,SC,Sul,1,0.806,Kepler,60.46
35000573,Academia Vanguard 574,4314902,RS,Sul,1,0.805,Uno,72.88
35000180,Centro Educacional Nossa Senhora 181,4205407,SC,Sul,1,0.847,Uno,61.26
35000067,Centro Educacional Santo Agostinho 68,3509502,SP,Sudeste,1,0.805,Compartilha,59.17
35000603,Instituto de Ensino Nossa Senhora 604,4106902,PR,Sul,1,0.823,Kepler,57.74
35000311,Colégio Saber 312,4316907,RS,Sul,1,0.784,Kepler,62.2
35001061,Escola Nossa Senhora 1062,3303302,RJ,Sudeste,1,0.837,Uno,56.89
35000231,Academia Alfa 232,3550308,SP,Sudeste,1,0.805,Uno,67.12
35000957,Colégio Saber 958,3550308,SP,Sudeste,1,0.805,Kepler,60.72
35000948,Instituto de Ensino Santa Cruz 949,2304400,CE,Nordeste,1,0.754,Kepler,59.69
35001106,Colégio Futuro 1107,4202404,SC,Sul,1,0.806,Uno,68.65
35000621,Colégio Futuro 622,5208707,GO,Centro-Oeste,1,0.799,Kepler,61.75
35000728,Colégio Futuro 729,3549805,SP,Sudeste,1,0.807,Uno,62.29
35001017,Instituto de Ensino Santa Cruz 1018,5208707,GO,Centro-Oeste,1,0.799,Kepler,63.66
35000186,Liceu Futuro 187,2611606,PE,Nordeste,2,0.772,Kepler,63.55
35000100,Centro Educacional Saber 101,3509502,SP,Sudeste,1,0.805,Compartilha,56.85
35000070,Instituto de Ensino Santa Cruz 71,3301702,RJ,Sudeste,1,0.711,Farias Brito,55.8
35001195,Escola Integral 1196,3170206,MG,Sudeste,1,0.789,Compartilha,55.7
35000356,Academia Fênix 357,2313500,CE,Nordeste,1,0.714,Farias Brito,65.07
35000996,Colégio Futuro 997,3106200,MG,Sudeste,1,0.81,Uno,75.9
35000862,Colégio Santa Cruz 863,3301702,RJ,Sudeste,1,0.711,Kepler,57.08
35000442,Liceu Dom Bosco 443,4304606,RS,Sul,2,0.782,Kepler,62.13
35000969,Liceu Dom Bosco 970,4314902,RS,Sul,1,0.805,Kepler,61.25
35000281,Escola Vanguard 282,4202404,SC,Sul,2,0.806,Kepler,61.48
35000463,Centro Educacional Objetivo 464,3509502,SP,Sudeste,1,0.805,Kepler,56.88
35001085,Liceu Albert Einstein 1086,1302603,AM,Norte,1,0.737,Kepler,65.79
35000052,Escola Saber 53,2910800,BA,Nordeste,1,0.712,Kepler,56.08
35000058,Liceu Nossa Senhora 59,2304202,CE,Nordeste,1,0.713,Farias Brito,69.15
35000683,Academia Marista 684,2611101,PE,Nordeste,1,0.697,Kepler,51.03
35000594,Centro Educacional Albert Einstein 595,3550308,SP,Sudeste,1,0.805,Compartilha,57.52
35000034,Escola Saber 35,3509502,SP,Sudeste,1,0.805,Kepler,55.86
35000424,Colégio Futuro 425,5300108,DF,Centro-Oeste,2,0.824,Uno,56.88
35000612,Academia Anchieta 613,2927408,BA,Nordeste,1,0.759,Farias Brito,63.38
35000597,Colégio São José 598,3304557,RJ,Sudeste,1,0.799,Compartilha,59.37
35000802,Academia Dom Bosco 803,4113700,PR,Sul,1,0.788,Kepler,61.57
35000993,Academia Fênix 994,3304557,RJ,Sudeste,1,0.799,Uno,62.61
35000305,Liceu Pionero 306,3136702,MG,Sudeste,1,0.778,Farias Brito,62.55
35000674,Liceu Anchieta 675,4316907,RS,Sul,1,0.784,Uno,60.99
35000856,Colégio Exponencial 857,2111300,MA,Nordeste,1,0.768,Compartilha,60.08
35000025,Liceu São José 26,2304202,CE,Nordeste,1,0.713,Farias Brito,61.69
35000552,Colégio Vanguard 553,2304400,CE,Nordeste,1,0.754,Kepler,59.6
35000031,Liceu São José 32,2111300,MA,Nordeste,1,0.768,Farias Brito,73.21
35000079,Colégio São José 80,4304606,RS,Sul,2,0.782,Kepler,61.83
35001151,Academia Nossa Senhora 1152,1302603,AM,Norte,1,0.737,Kepler,58.93
35001008,Liceu Futuro 1009,2927408,BA,Nordeste,1,0.759,Farias Brito,63.01
35000582,Escola Exponencial 583,2611606,PE,Nordeste,1,0.772,Kepler,62.32
35000984,Colégio Santo Agostinho 985,5208707,GO,Centro-Oeste,1,0.799,Uno,60.06
35000061,Instituto de Ensino São José 62,5300108,DF,Centro-Oeste,1,0.824,Compartilha,50.14
35000430,Centro Educacional Santo Agostinho 431,3509502,SP,Sudeste,1,0.805,Kepler,62.81
35000686,Instituto de Ensino Pionero 687,2313500,CE,Nordeste,1,0.714,Farias Brito,71.09
35000433,Centro Educacional Vanguard 434,3301702,RJ,Sudeste,1,0.711,Kepler,53.16
35000153,Instituto de Ensino Integral 154,2611606,PE,Nordeste,1,0.772,Farias Brito,61.5
35000624,Colégio Elite 625,1501402,PA,Norte,1,0.746,Kepler,59.15
35000570,Liceu São José 571,4106902,PR,Sul,1,0.823,Compartilha,55.46
35000296,Liceu São José 297,5002704,MS,Centro-Oeste,1,0.784,Uno,59.36
35000490,Escola Exponencial 491,5300108,DF,Centro-Oeste,1,0.824,Compartilha,48.78
35000942,Academia Anchieta 943,2927408,BA,Nordeste,1,0.759,Farias Brito,61.19
35000886,Academia Anchieta 887,5300108,DF,Centro-Oeste,1,0.824,Kepler,48.57
35001139,Instituto de Ensino Nossa Senhora 1140,4202404,SC,Sul,2,0.806,Uno,64.59
35000421,Colégio Alfa 422,2304202,CE,Nordeste,1,0.713,Kepler,53.04
35000755,Centro Educacional Nossa Senhora 756,1302603,AM,Norte,1,0.737,Kepler,56.75
35000049,Liceu São José 50,4209102,SC,Sul,1,0.809,Uno,68.82
35000150,Instituto de Ensino Progresso 151,2927408,BA,Nordeste,1,0.759,Farias Brito,69.42
35000055,Academia Nossa Senhora 56,2609600,PE,Nordeste,1,0.735,Kepler,53.43
35000719,Colégio Futuro 720,2313500,CE,Nordeste,2,0.714,Kepler,54.37
35000546,Escola Integral 547,2927408,BA,Nordeste,1,0.759,Farias Brito,58.91
35000466,Instituto de Ensino Marista 467,3301702,RJ,Sudeste,1,0.711,Kepler,54.97
35000966,Liceu Alfa 967,4106902,PR,Sul,1,0.823,Kepler,59.43
35001103,Instituto de Ensino Saber 1104,4316907,RS,Sul,1,0.784,Kepler,64.83
35000210,Liceu Pionero 211,4314902,RS,Sul,1,0.805,Uno,62.68
35000156,Colégio Nossa Senhora 157,2304400,CE,Nordeste,1,0.754,Compartilha,61.18
35000323,Escola Integral 324,2313500,CE,Nordeste,1,0.714,Farias Brito,69.2
35001127,Instituto de Ensino Fênix 1128,3303302,RJ,Sudeste,1,0.837,Kepler,51.89
35000019,Liceu Dom Bosco 20,2910800,BA,Nordeste,1,0.712,Farias Brito,59.75
35000668,Escola Futuro 669,3136702,MG,Sudeste,1,0.778,Kepler,70.59
35000588,Instituto de Ensino Pionero 589,5208707,GO,Centro-Oeste,1,0.799,Uno,59.9
35000484,Centro Educacional São José 485,2609600,PE,Nordeste,1,0.735,Farias Brito,69.22
35000609,Centro Educacional Alfa 610,4205407,SC,Sul,1,0.847,Kepler,57.47
35000883,Liceu Fênix 884,2304202,CE,Nordeste,1,0.713,Compartilha,53.98
35001076,Academia Santo Agostinho 1077,2933307,BA,Nordeste,1,0.718,Farias Brito,56.46
35001133,Liceu Vanguard 1134,4118204,PR,Sul,1,0.75,Farias Brito,60.8
35000284,Colégio Santo Agostinho 285,2933307,BA,Nordeste,1,0.718,Farias Brito,75.2
35001130,Colégio Alfa 1131,3136702,MG,Sudeste,1,0.778,Farias Brito,64.72
35001073,Escola Exponencial 1074,4202404,SC,Sul,1,0.806,Uno,68.67
35000585,Academia Saber 586,2304400,CE,Nordeste,1,0.754,Farias Brito,65.37
35000183,Colégio Marista 184,2927408,BA,Nordeste,1,0.759,Farias Brito,57.89
35000740,Academia Fênix 741,4316907,RS,Sul,1,0.784,Uno,63.34
35000302,Colégio Santo Agostinho 303,3303302,RJ,Sudeste,1,0.837,Uno,56.49
35000445,Centro Educacional Progresso 446,4209102,SC,Sul,1,0.809,Kepler,62.24
35000144,Instituto de Ensino Marista 145,4314902,RS,Sul,1,0.805,Kepler,60.53
35000201,Escola Santa Cruz 202,3304557,RJ,Sudeste,1,0.799,Uno,68.43
35000332,Centro Educacional Elite 333,3549805,SP,Sudeste,1,0.807,Uno,63.43
35000436,Colégio Vanguard 437,3170206,MG,Sudeste,1,0.789,Compartilha,65.43
35000731,Colégio Alfa 732,3303302,RJ,Sudeste,1,0.837,Uno,51.85
35000671,Liceu Futuro 672,4118204,PR,Sul,1,0.75,Uno,57.69
35000743,Centro Educacional Objetivo 744,4202404,SC,Sul,1,0.806,Kepler,58.96
35001023,Centro Educacional São José 1024,3550308,SP,Sudeste,1,0.805,Kepler,59.05
35000406,Centro Educacional Alfa 407,4113700,PR,Sul,1,0.788,Kepler,67.47
35000799,Centro Educacional Santa Cruz 800,3170206,MG,Sudeste,1,0.789,Kepler,61.49
35000448,Liceu Albert Einstein 449,2910800,BA,Nordeste,1,0.712,Kepler,54.82
35000689,Academia Fênix 690,1302603,AM,Norte,1,0.737,Kepler,64.1
35000877,Centro Educacional Progresso 878,2910800,BA,Nordeste,1,0.712,Compartilha,51.71
35000469,Academia Marista 470,3170206,MG,Sudeste,1,0.789,Uno,67.15
35000722,Escola Vanguard 723,1302603,AM,Norte,1,0.737,Farias Brito,65.83
35000868,Centro Educacional Alfa 869,4113700,PR,Sul,1,0.788,Kepler,58.6
35000817,Escola Pionero 818,2304202,CE,Nordeste,1,0.713,Farias Brito,58.99
35001118,Instituto de Ensino Vanguard 1119,1302603,AM,Norte,1,0.737,Compartilha,68.98
35001100,Liceu Integral 1101,4118204,PR,Sul,1,0.75,Compartilha,62.61
35000192,Liceu Pionero 193,5208707,GO,Centro-Oeste,1,0.799,Kepler,67.72
35000478,Instituto de Ensino Albert Einstein 479,4209102,SC,Sul,1,0.809,Kepler,57.69
35000576,Instituto de Ensino Objetivo 577,4205407,SC,Sul,1,0.847,Kepler,54.03
35000174,Liceu Marista 175,4106902,PR,Sul,1,0.823,Uno,63.54
35001124,Escola São José 1125,3549805,SP,Sudeste,1,0.807,Compartilha,65.05
35000990,Escola Fênix 991,3550308,SP,Sudeste,1,0.805,Compartilha,64.0
35000972,Centro Educacional Albert Einstein 973,4205407,SC,Sul,1,0.847,Uno,62.26
35000734,Instituto de Ensino Elite 735,3136702,MG,Sudeste,1,0.778,Uno,61.27
35001067,Colégio Progresso 1068,4118204,PR,Sul,1,0.75,Farias Brito,65.12
35000412,Centro Educacional Dom Bosco 413,4209102,SC,Sul,1,0.809,Kepler,53.52
35001011,Colégio Integral 1012,2611606,PE,Nordeste,1,0.772,Kepler,64.56
35001079,Liceu Saber 1080,2611101,PE,Nordeste,1,0.697,Farias Brito,60.15
35000222,Centro Educacional Elite 223,2304400,CE,Nordeste,1,0.754,Compartilha,56.45
35000627,Academia São José 628,3550308,SP,Sudeste,1,0.805,Compartilha,67.0
35000567,Instituto de Ensino Alfa 568,3106200,MG,Sudeste,1,0.81,Kepler,59.92
35001020,Academia Objetivo 1021,1501402,PA,Norte,1,0.746,Kepler,58.95
35000451,Colégio Progresso 452,2609600,PE,Nordeste,1,0.735,Kepler,57.66
35000865,Escola Integral 866,3170206,MG,Sudeste,1,0.789,Kepler,62.52
35001112,Centro Educacional Saber 1113,2611101,PE,Nordeste,1,0.697,Farias Brito,59.38
35000698,Instituto de Ensino Marista 699,3303302,RJ,Sudeste,1,0.837,Uno,56.67
35001094,Academia Exponencial 1095,3303302,RJ,Sudeste,1,0.837,Kepler,52.07
35000147,Liceu Saber 148,4205407,SC,Sul,1,0.847,Uno,52.74
35000091,Instituto de Ensino Progresso 92,2304202,CE,Nordeste,1,0.713,Farias Brito,55.68
35000234,Liceu São José 235,3304557,RJ,Sudeste,1,0.799,Uno,76.47
35000439,Centro Educacional Anchieta 440,4113700,PR,Sul,1,0.788,Uno,61.28
35000043,Colégio Fênix 44,4113700,PR,Sul,1,0.788,Uno,69.22
35000103,Escola Santa Cruz 104,3301702,RJ,Sudeste,1,0.711,Farias Brito,65.17
35001115,Academia Santa Cruz 1116,2313500,CE,Nordeste,1,0.714,Kepler,56.69
35001198,Escola Anchieta 1199,4113700,PR,Sul,2,0.788,Kepler,61.78
35000832,Colégio Marista 833,3170206,MG,Sudeste,1,0.789,Uno,69.92
35000981,Instituto de Ensino Alfa 982,2304400,CE,Nordeste,2,0.754,Kepler,57.24
35001142,Colégio Progresso 1143,2933307,BA,Nordeste,1,0.718,Farias Brito,55.27
35000540,Escola Elite 541,4314902,RS,Sul,2,0.805,Uno,72.21
35000829,Colégio Santo Agostinho 830,3301702,RJ,Sudeste,2,0.711,Farias Brito,61.29
35000600,Instituto de Ensino Dom Bosco 601,3106200,MG,Sudeste,1,0.81,Kepler,63.34
35000680,Colégio São José 681,2933307,BA,Nordeste,1,0.718,Farias Brito,66.77
35000159,Colégio Vanguard 160,5208707,GO,Centro-Oeste,1,0.799,Uno,60.23
35000960,Colégio Santo Agostinho 961,3304557,RJ,Sudeste,1,0.799,Kepler,61.37
35000859,Centro Educacional Vanguard 860,3509502,SP,Sudeste,1,0.805,Kepler,60.93
35000493,Instituto de Ensino Elite 494,2111300,MA,Nordeste,1,0.768,Compartilha,67.77
35001082,Colégio Exponencial 1083,2313500,CE,Nordeste,1,0.714,Farias Brito,67.58
35000216,Centro Educacional Santa Cruz 217,2927408,BA,Nordeste,2,0.759,Kepler,55.12
35000704,Centro Educacional Objetivo 705,4118204,PR,Sul,1,0.75,Uno,59.68
35001136,Colégio Integral 1137,4316907,RS,Sul,1,0.784,Uno,58.37
35000368,Academia Santo Agostinho 369,3303302,RJ,Sudeste,2,0.837,Uno,62.66
35000278,Colégio Dom Bosco 279,4316907,RS,Sul,1,0.784,Uno,59.95
35000094,Colégio Alfa 95,5300108,DF,Centro-Oeste,1,0.824,Uno,58.49
35001148,Instituto de Ensino Albert Einstein 1149,2313500,CE,Nordeste,1,0.714,Farias Brito,64.62
35000085,Colégio Alfa 86,2910800,BA,Nordeste,1,0.712,Farias Brito,63.29
35000702,Colégio Santo Agostinho 703,4106902,PR,Sul,1,0.823,Uno,73.19
35000374,Colégio Exponencial 375,4118204,PR,Sul,2,0.75,Compartilha,55.53
35000005,Liceu Futuro 6,3303302,RJ,Sudeste,1,0.837,Uno,64.07
35001169,Liceu Integral 1170,4316907,RS,Sul,1,0.784,Kepler,68.58
35000928,Instituto de Ensino Exponencial 929,3301702,RJ,Sudeste,1,0.711,Compartilha,56.86
35000458,Instituto de Ensino Anchieta 459,1302603,AM,Norte,1,0.737,Kepler,63.51
35000711,Liceu Santo Agostinho 712,2927408,BA,Nordeste,1,0.759,Farias Brito,69.22
35001038,Escola Anchieta 1039,4205407,SC,Sul,1,0.847,Compartilha,54.86
35000541,Escola Saber 542,4304606,RS,Sul,1,0.782,Uno,65.84
35000833,Colégio Futuro 834,3136702,MG,Sudeste,1,0.778,Kepler,63.44
35000764,Escola Albert Einstein 765,3303302,RJ,Sudeste,1,0.837,Compartilha,53.01
35000830,Colégio Anchieta 831,3303302,RJ,Sudeste,1,0.837,Compartilha,49.03
35001065,Colégio Progresso 1066,4106902,PR,Sul,1,0.823,Compartilha,55.74
35000053,Centro Educacional Alfa 54,2933307,BA,Nordeste,1,0.718,Farias Brito,65.89
35000696,Colégio São José 697,3304557,RJ,Sudeste,1,0.799,Kepler,58.7
35000035,Liceu Fênix 36,3549805,SP,Sudeste,1,0.807,Uno,72.13
35000074,Colégio Integral 75,3136702,MG,Sudeste,1,0.778,Compartilha,58.23
35000988,Academia Pionero 989,2111300,MA,Nordeste,1,0.768,Farias Brito,59.89
35001059,Academia Anchieta 1060,3304557,RJ,Sudeste,1,0.799,Kepler,59.98
35000041,Academia Vanguard 42,3136702,MG,Sudeste,1,0.778,Kepler,67.19
35000669,Instituto de Ensino Vanguard 670,4106902,PR,Sul,1,0.823,Uno,64.94
35000026,Instituto de Ensino Dom Bosco 27,2313500,CE,Nordeste,2,0.714,Farias Brito,61.15
35001047,Instituto de Ensino Santo Agostinho 1048,2304400,CE,Nordeste,2,0.754,Kepler,58.71
