SK_ESCOLA,CO_MUNICIPIO,IN_INTERNET,IN_BANDA_LARGA,QT_COMP_ALUNO,IN_EQUIP_LOUSA_DIGITAL,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_BIBLIOTECA_SALA_LEITURA,IN_INFANTIL,IN_FUNDAMENTAL,IN_MEDIO,IN_INTEGRAL,IN_AUDITORIO,IN_QUADRA_ESPORTES,QT_SALAS_UTILIZADAS,QT_MAT_BAS,QT_DOC_BAS,PROP_DOCENTES_SUPERIOR,SK_DATA
35000267,3304557,1,1,0.021,0,0,0,1,1,1,0,0,0,0,4,304,16,0.72,20260101
35000268,3301702,0,0,0.028,0,0,0,1,1,1,0,0,0,1,5,97,5,0.6,20260101
35000269,3303302,1,1,0.607,1,1,1,1,1,1,0,0,0,1,20,594,37,0.85,20260101
35000270,3106200,1,1,0.436,1,1,1,1,0,1,1,1,1,1,25,522,34,0.96,20260101
35000271,3170206,1,1,0.481,0,1,1,1,0,1,1,1,1,1,25,1097,73,0.9,20260101
35000272,3136702,1,1,0.814,0,1,1,1,1,1,1,0,0,1,22,382,23,0.92,20260101
35000273,4106902,1,1,0.448,1,1,1,1,0,1,1,1,1,1,15,595,39,0.98,20260101
35000274,4113700,1,1,0.062,0,0,0,1,1,1,1,0,0,0,6,168,9,0.63,20260101
35000275,4118204,1,1,0.451,1,1,1,1,0,1,1,1,1,1,23,684,45,0.94,20260101
35000276,4314902,1,1,0.565,1,1,1,1,1,1,1,0,1,1,23,458,28,0.86,20260101
35000277,4304606,1,1,0.035,0,0,0,0,1,1,0,0,0,0,9,211,11,0.65,20260101
35000278,4316907,1,1,0.698,1,1,0,1,1,1,1,1,1,1,22,297,18,0.89,20260101
35000279,4205407,1,0,0.071,0,1,0,0,1,1,0,0,0,1,4,310,17,0.62,20260101
35000280,4209102,1,1,0.276,0,1,1,1,0,1,1,1,1,1,15,492,32,0.97,20260101
35000281,4202404,1,1,0.044,0,1,0,1,0,1,0,0,0,1,6,107,5,0.55,20260101
35000282,2927408,1,1,0.091,0,1,0,1,1,1,0,0,0,1,5,280,15,0.61,20260101
35000283,2910800,1,1,0.114,0,0,0,1,1,1,0,0,0,0,7,218,12,0.7,20260101
35000284,2933307,1,1,0.375,1,1,1,1,0,1,1,1,1,1,21,879,58,0.95,20260101
35000285,2611606,1,1,0.423,0,1,1,1,0,1,1,0,1,1,20,841,56,0.98,20260101
35000286,2609600,1,1,0.44,1,1,1,1,1,1,1,1,1,1,37,1053,75,0.9,20260101
35000287,2611101,1,1,0.781,1,1,1,1,1,1,1,1,0,1,12,595,37,0.87,20260101
35000288,2304400,1,1,0.668,1,1,0,1,1,1,1,0,0,1,20,605,37,0.92,20260101
35000289,2304202,1,1,0.412,1,1,1,1,1,1,1,1,1,1,44,1203,85,0.87,20260101
35000290,2313500,1,1,0.794,1,1,1,1,1,1,1,0,0,1,17,481,30,0.91,20260101
35000291,5208707,1,1,0.112,0,1,0,1,1,1,1,1,0,1,6,222,12,0.64,20260101
35000292,5300108,1,1,0.562,1,1,1,1,1,1,1,1,1,1,54,3046,217,0.86,20260101
35000293,1302603,1,1,0.06,0,0,0,1,1,1,0,0,0,0,6,84,4,0.52,20260101
35000294,1501402,1,1,0.242,1,1,1,1,0,1,1,1,1,1,25,1021,68,0.93,20260101
35000295,2111300,1,1,0.593,1,1,1,1,1,1,1,1,1,1,44,2944,210,0.92,20260101
35000296,5002704,1,1,0.782,0,1,1,1,0,1,1,1,1,1,15,707,44,0.88,20260101
35000297,3550308,1,1,0.107,0,1,0,0,1,1,0,0,0,1,7,177,9,0.67,20260101
35000298,3509502,1,0,0.14,0,0,0,1,0,1,0,0,0,0,9,268,14,0.65,20260101
35000299,3549805,1,1,0.046,0,1,0,0,1,1,1,0,0,1,10,282,15,0.74,20260101
35000300,3304557,0,0,0.147,0,1,0,1,0,1,1,0,0,0,7,117,6,0.56,20260101
35000301,3301702,1,1,0.148,0,0,0,0,0,1,0,0,0,1,8,115,6,0.53,20260101
35000302,3303302,1,1,0.219,0,1,1,1,0,1,1,1,1,1,32,565,37,0.98,20260101
35000303,3106200,1,1,0.497,1,1,1,1,1,1,0,1,1,1,34,2447,174,0.89,20260101
35000304,3170206,1,1,0.148,0,0,0,1,1,1,0,0,0,0,5,165,9,0.58,20260101
35000305,3136702,1,1,0.482,0,1,1,1,0,1,1,1,1,1,27,1119,74,0.96,20260101
35000306,4106902,1,1,0.235,1,1,1,1,0,1,1,0,1,1,21,1107,73,0.94,20260101
35000307,4113700,1,1,0.311,1,1,1,1,1,1,1,1,1,1,50,1269,90,0.93,20260101
35000308,4118204,1,1,0.242,1,1,1,1,0,1,1,0,1,1,17,811,54,0.94,20260101
35000309,4314902,1,1,0.45,0,1,1,1,1,1,1,1,1,1,59,1386,99,0.97,20260101
35000310,4304606,1,0,0.048,0,1,0,0,0,1,0,1,0,1,7,264,14,0.56,20260101
35000311,4316907,0,0,0.051,0,1,0,1,1,1,0,0,0,0,8,215,11,0.69,20260101
35000312,4205407,1,1,0.702,1,1,0,1,1,1,1,1,1,1,16,586,36,0.88,20260101
35000313,4209102,1,1,0.237,1,1,1,1,0,1,1,0,1,1,34,1048,69,0.98,20260101
35000314,4202404,1,1,0.469,0,1,1,1,1,1,0,0,0,1,10,356,22,0.92,20260101
35000315,2927408,1,0,0.108,0,0,0,1,0,1,0,0,0,1,9,259,14,0.69,20260101
35000316,2910800,0,0,0.025,0,0,0,1,0,1,0,0,0,1,8,303,16,0.68,20260101
35000317,2933307,1,1,0.254,1,1,1,1,1,1,1,1,1,1,43,2209,157,0.89,20260101
35000318,2611606,1,1,0.148,0,1,0,1,0,1,0,0,0,1,10,201,11,0.61,20260101
35000319,2609600,1,1,0.477,0,1,1,1,1,1,0,1,1,1,48,2028,144,0.86,20260101
35000320,2611101,1,1,0.782,1,1,1,1,0,1,1,1,0,1,16,617,38,0.84,20260101
35000321,2304400,1,1,0.036,0,1,0,1,1,1,0,0,0,0,9,84,4,0.54,20260101
35000322,2304202,1,1,0.37,1,1,1,1,1,1,1,1,1,1,42,1660,118,0.96,20260101
35000323,2313500,1,1,0.513,0,1,1,1,0,1,1,1,1,1,17,692,43,0.95,20260101
35000324,5208707,1,1,0.41,1,1,1,1,0,1,1,1,1,1,26,1001,66,0.97,20260101
35000325,5300108,1,0,0.039,0,0,0,0,1,1,0,1,0,0,4,250,13,0.67,20260101
35000326,1302603,1,1,0.528,0,1,1,1,1,1,0,1,1,1,50,2676,191,0.86,20260101
35000327,1501402,1,1,0.327,1,1,1,1,1,1,1,1,1,1,51,1268,90,0.91,20260101
35000328,2111300,1,1,0.223,1,1,1,1,0,1,1,1,1,1,29,404,26,0.93,20260101
35000329,5002704,1,1,0.447,1,1,1,1,1,1,0,1,1,1,39,1018,72,0.95,20260101
35000330,3550308,1,1,0.269,1,1,1,1,0,1,1,1,1,1,26,716,47,0.94,20260101
35000331,3509502,1,1,0.725,1,1,1,1,0,1,0,0,1,1,21,649,40,0.81,20260101
35000332,3549805,1,1,0.229,0,1,1,1,0,1,1,1,1,1,23,886,59,0.92,20260101
35000333,3304557,1,1,0.508,1,1,0,1,0,1,0,1,0,1,11,420,26,0.93,20260101
35000334,3301702,1,1,0.333,0,1,1,1,1,1,1,1,1,1,30,1287,91,0.91,20260101
35000335,3303302,1,0,0.025,0,0,0,0,1,1,1,0,0,1,8,273,15,0.71,20260101
35000336,3106200,1,1,0.336,1,1,1,1,0,1,1,1,1,1,26,998,66,0.94,20260101
35000337,3170206,0,0,0.135,0,0,0,1,1,1,1,0,0,0,10,84,4,0.7,20260101
35000338,3136702,0,0,0.064,0,0,0,0,1,1,1,0,0,0,9,123,6,0.57,20260101
35000339,4106902,1,1,0.355,1,1,1,1,1,1,1,0,0,1,19,325,20,0.85,20260101
35000340,4113700,1,1,0.118,0,0,0,1,0,1,0,0,0,0,10,312,17,0.58,20260101
35000341,4118204,0,0,0.101,0,0,0,0,1,1,0,1,0,1,8,254,14,0.62,20260101
35000342,4314902,0,0,0.059,0,1,0,1,1,1,1,0,0,0,5,89,4,0.6,20260101
35000343,4304606,1,1,0.278,1,1,1,1,0,1,1,1,1,1,18,1142,76,0.91,20260101
35000344,4316907,1,1,0.242,1,1,1,1,0,1,1,0,1,1,19,1037,69,0.95,20260101
35000345,4205407,1,0,0.148,0,1,0,1,1,1,0,1,0,0,8,347,19,0.65,20260101
35000346,4209102,1,1,0.046,0,1,0,1,1,1,1,0,0,0,5,154,8,0.62,20260101
35000347,4202404,1,0,0.133,0,0,0,0,1,1,1,1,0,0,5,342,19,0.65,20260101
35000348,2927408,0,0,0.08,0,1,0,0,1,1,0,0,0,1,8,81,4,0.53,20260101
35000349,2910800,1,1,0.314,1,1,1,1,1,1,1,1,1,1,33,1587,113,0.85,20260101
35000350,2933307,1,1,0.419,1,1,1,1,1,1,1,1,1,1,48,3037,216,0.89,20260101
35000351,2611606,1,1,0.093,0,0,0,0,1,1,0,0,0,1,7,209,11,0.54,20260101
35000352,2609600,1,1,0.498,1,1,1,1,0,1,1,1,1,1,27,563,37,0.96,20260101
35000353,2611101,1,1,0.097,0,0,0,1,1,1,0,0,0,0,11,74,4,0.52,20260101
35000354,2304400,1,1,0.057,0,0,0,1,1,1,0,0,0,0,9,347,19,0.71,20260101
35000355,2304202,1,1,0.393,1,1,0,1,0,1,1,0,0,1,13,677,42,0.81,20260101
35000356,2313500,1,1,0.787,1,1,1,1,0,1,1,0,1,1,22,589,36,0.9,20260101
35000357,5208707,1,1,0.238,1,1,1,1,0,1,1,1,1,1,27,675,45,0.97,20260101
35000358,5300108,1,1,0.386,0,1,1,1,0,1,1,0,1,1,34,510,34,0.96,20260101
35000359,1302603,1,0,0.082,0,0,0,1,0,1,0,0,0,0,10,326,18,0.66,20260101
35000360,1501402,1,1,0.695,1,1,0,1,1,1,1,1,1,1,15,680,42,0.85,20260101
35000361,2111300,1,1,0.067,0,1,0,0,0,1,0,0,0,1,4,175,9,0.67,20260101
35000362,5002704,1,1,0.556,1,1,0,1,1,1,0,1,0,1,15,278,17,0.85,20260101
35000363,3550308,1,1,0.499,1,1,1,1,0,1,1,1,1,1,27,478,31,0.94,20260101
35000364,3509502,1,1,0.385,1,1,1,1,0,1,1,1,1,1,24,918,61,0.96,20260101
35000365,3549805,1,1,0.651,1,1,1,1,0,1,0,0,0,1,10,381,23,0.83,20260101
35000366,3304557,1,1,0.786,1,1,0,1,1,1,1,0,1,1,23,626,39,0.86,20260101
35000367,3301702,1,1,0.38,1,1,1,1,1,1,1,1,1,1,50,2301,164,0.91,20260101
35000368,3303302,1,1,0.283,1,1,1,1,0,1,1,0,1,1,27,789,52,0.96,20260101
35000369,3106200,1,1,0.64,1,1,1,1,1,1,1,1,0,1,18,495,30,0.81,20260101
35000370,3170206,1,1,0.07,0,0,0,1,1,1,1,0,0,0,6,154,8,0.71,20260101
35000371,3136702,1,1,0.75,1,1,1,1,1,1,1,1,1,1,23,416,26,0.89,20260101
35000372,4106902,1,1,0.122,0,0,0,1,1,1,0,0,0,0,6,325,18,0.55,20260101
35000373,4113700,1,1,0.606,1,1,0,1,0,1,1,1,0,1,22,385,24,0.89,20260101
35000374,4118204,1,1,0.267,0,1,1,1,1,1,0,1,1,1,46,3160,225,0.93,20260101
35000375,4314902,1,1,0.354,0,1,1,1,1,1,0,1,1,1,41,2723,194,0.87,20260101
35000376,4304606,1,1,0.845,1,1,1,1,0,1,0,1,0,1,21,568,35,0.9,20260101
35000377,4316907,1,1,0.676,1,1,0,1,0,1,1,1,1,1,17,681,42,0.82,20260101
35000378,4205407,1,1,0.403,1,1,1,1,0,1,1,1,1,1,26,894,59,0.94,20260101
35000379,4209102,1,1,0.334,1,1,1,1,1,1,1,1,1,1,48,1704,121,0.9,20260101
35000380,4202404,1,1,0.095,0,1,0,1,0,1,1,0,0,0,6,227,12,0.64,20260101
35000381,2927408,1,1,0.431,1,1,1,1,0,1,1,0,1,1,22,484,32,0.99,20260101
35000382,2910800,1,1,0.377,1,1,1,1,0,1,1,1,1,1,29,624,41,0.96,20260101
35000383,2933307,0,0,0.128,0,0,0,1,1,1,0,0,0,1,4,346,19,0.55,20260101
35000384,2611606,1,1,0.509,1,1,0,1,0,1,1,0,1,1,20,498,31,0.84,20260101
35000385,2609600,0,0,0.095,0,0,0,0,1,1,1,0,0,0,4,212,11,0.51,20260101
35000386,2611101,1,1,0.459,1,1,1,1,1,1,1,1,1,1,40,2522,180,0.88,20260101
35000387,2304400,1,0,0.077,0,0,0,1,1,1,0,0,0,1,5,89,4,0.68,20260101
35000388,2304202,1,1,0.316,1,1,1,1,0,1,1,1,1,1,18,608,40,0.9,20260101
35000389,2313500,1,1,0.632,1,1,1,1,1,1,1,1,0,1,17,316,19,0.81,20260101
35000390,5208707,0,0,0.132,0,0,0,1,1,1,0,0,0,0,11,119,6,0.55,20260101
35000391,5300108,1,1,0.793,0,1,0,1,0,1,0,0,1,1,19,608,38,0.89,20260101
35000392,1302603,1,1,0.673,1,1,0,1,0,1,1,0,1,1,17,610,38,0.86,20260101
35000393,1501402,1,0,0.064,0,0,0,1,1,1,0,0,0,1,5,332,18,0.58,20260101
35000394,2111300,1,1,0.244,1,1,1,1,0,1,1,1,1,1,31,1085,72,0.96,20260101
35000395,5002704,0,0,0.021,0,0,0,0,1,1,0,1,0,1,11,283,15,0.7,20260101
35000396,3550308,1,1,0.391,1,1,1,1,0,1,1,1,1,1,15,704,44,0.86,20260101
35000397,3509502,1,1,0.445,1,1,1,1,1,1,1,1,1,1,13,424,26,0.82,20260101
35000398,3549805,0,0,0.1,0,0,0,0,1,1,0,1,0,0,10,249,13,0.74,20260101
35000399,3304557,0,0,0.053,0,0,0,0,1,1,0,0,0,0,4,97,5,0.52,20260101
35000400,3301702,1,1,0.785,1,1,1,1,1,1,1,1,1,1,10,676,42,0.87,20260101
35000401,3303302,1,1,0.51,1,1,1,1,1,1,1,0,0,1,17,450,28,0.86,20260101
35000402,3106200,1,1,0.545,1,1,1,1,1,1,0,1,1,1,57,1894,135,0.91,20260101
35000403,3170206,1,1,0.05,0,1,0,1,1,1,0,0,0,0,4,72,4,0.52,20260101
35000404,3136702,1,1,0.445,1,1,1,1,0,1,1,1,1,1,33,1197,79,0.97,20260101
35000405,4106902,1,1,0.843,1,1,0,1,1,1,1,1,0,1,14,723,45,0.85,20260101
35000406,4113700,1,0,0.128,0,0,0,0,1,1,0,0,0,0,10,244,13,0.57,20260101
35000407,4118204,1,1,0.423,1,1,1,1,1,1,0,1,1,1,55,3159,225,0.94,20260101
35000408,4314902,1,1,0.453,1,1,1,1,0,1,1,1,1,1,33,968,64,0.91,20260101
35000409,4304606,1,1,0.441,0,1,1,1,1,1,1,1,1,1,51,2972,212,0.87,20260101
35000410,4316907,0,0,0.129,0,0,0,0,1,1,1,0,0,0,5,265,14,0.64,20260101
35000411,4205407,1,1,0.124,0,1,0,1,1,1,0,0,0,0,8,156,8,0.51,20260101
35000412,4209102,0,0,0.071,0,1,0,0,0,1,1,1,0,0,9,213,11,0.69,20260101
35000413,4202404,1,1,0.616,1,1,1,1,1,1,1,1,1,1,13,473,29,0.94,20260101
35000414,2927408,1,1,0.366,0,1,1,1,0,1,1,1,1,1,33,590,39,0.96,20260101
35000415,2910800,1,1,0.309,1,1,1,1,0,1,1,0,1,1,28,586,39,0.97,20260101
35000416,2933307,1,1,0.37,1,1,1,1,1,1,0,1,1,1,50,1992,142,0.96,20260101
35000417,2611606,1,0,0.091,0,0,0,1,1,1,0,1,0,0,4,176,9,0.64,20260101
35000418,2609600,1,0,0.031,0,1,0,1,1,1,0,0,0,1,8,282,15,0.5,20260101
35000419,2611101,0,0,0.08,0,0,0,1,1,1,1,0,0,1,5,240,13,0.55,20260101
35000420,2304400,1,0,0.114,0,1,0,1,1,1,1,0,0,0,7,248,13,0.69,20260101
35000421,2304202,1,1,0.08,0,0,0,1,1,1,0,0,0,0,4,85,4,0.51,20260101
35000422,2313500,1,1,0.487,1,1,1,1,0,1,1,1,1,1,26,1129,75,0.95,20260101
35000423,5208707,1,1,0.353,1,1,1,1,0,1,1,0,1,1,24,856,57,0.93,20260101
35000424,5300108,1,1,0.427,1,1,1,1,1,1,1,1,1,1,11,293,18,0.9,20260101
35000425,1302603,1,1,0.071,0,0,0,1,1,1,0,0,0,1,6,128,7,0.55,20260101
35000426,1501402,1,1,0.361,1,1,1,1,0,1,1,0,1,1,31,553,36,0.9,20260101
35000427,2111300,1,1,0.483,1,1,1,1,1,1,1,1,1,1,38,2829,202,0.92,20260101
35000428,5002704,1,1,0.236,0,1,1,1,0,1,1,1,1,1,26,915,61,0.92,20260101
35000429,3550308,1,1,0.412,0,1,1,1,0,1,0,0,0,1,21,578,36,0.86,20260101
35000430,3509502,1,0,0.031,0,0,0,1,1,1,0,0,0,0,10,79,4,0.73,20260101
35000431,3549805,1,1,0.552,1,1,1,1,1,1,1,1,1,1,30,2680,191,0.93,20260101
35000432,3304557,1,1,0.301,0,1,1,1,0,1,1,0,1,1,21,842,56,0.97,20260101
35000433,3301702,0,0,0.086,0,1,0,0,0,1,0,0,0,0,9,346,19,0.51,20260101
35000434,3303302,1,0,0.078,0,0,0,1,1,1,0,0,0,0,5,236,13,0.74,20260101
35000435,3106200,1,1,0.41,0,1,1,1,0,1,1,1,1,1,19,674,44,0.92,20260101
35000436,3170206,1,1,0.27,1,1,1,1,1,1,1,1,1,1,29,2437,174,0.86,20260101
35000437,3136702,1,1,0.607,0,1,0,1,0,1,1,1,0,1,14,640,40,0.94,20260101
35000438,4106902,1,1,0.79,1,1,1,1,0,1,1,0,0,1,16,289,18,0.86,20260101
35000439,4113700,1,1,0.463,1,1,0,1,1,1,0,0,1,1,17,710,44,0.82,20260101
35000440,4118204,1,1,0.533,1,1,1,1,1,1,0,1,1,1,50,1356,96,0.89,20260101
35000441,4314902,1,1,0.667,1,1,0,1,0,1,1,0,1,1,19,327,20,0.81,20260101
35000442,4304606,1,1,0.15,0,0,0,0,1,1,0,0,0,0,9,63,4,0.73,20260101
35000443,4316907,1,1,0.131,0,1,0,1,1,1,0,0,0,0,10,266,14,0.57,20260101
35000444,4205407,1,1,0.035,0,1,0,1,1,1,0,0,0,0,10,209,11,0.52,20260101
35000445,4209102,1,0,0.124,0,0,0,1,1,1,0,1,0,0,5,139,7,0.63,20260101
35000446,4202404,1,1,0.353,1,1,1,1,1,1,1,1,1,1,46,2137,152,0.96,20260101
35000447,2927408,1,1,0.559,1,1,0,1,1,1,1,0,1,1,14,654,40,0.84,20260101
35000448,2910800,0,0,0.037,0,0,0,1,1,1,0,0,0,0,5,253,14,0.59,20260101
35000449,2933307,1,1,0.112,0,1,0,0,1,1,0,0,0,0,8,108,6,0.51,20260101
35000450,2611606,1,1,0.364,1,1,0,1,1,1,1,0,1,1,19,357,22,0.86,20260101
35000451,2609600,1,1,0.145,0,0,0,1,1,1,0,0,0,0,9,116,6,0.57,20260101
35000452,2611101,1,0,0.04,0,0,0,1,1,1,0,0,0,0,10,257,14,0.58,20260101
35000453,2304400,1,1,0.481,1,1,1,1,0,1,1,1,1,1,24,441,29,0.98,20260101
35000454,2304202,1,1,0.694,1,1,0,1,1,1,1,0,1,1,17,678,42,0.81,20260101
35000455,2313500,1,1,0.271,0,1,1,1,1,1,0,1,1,1,29,2961,211,0.98,20260101
35000456,5208707,1,0,0.076,0,1,0,1,1,1,1,0,0,1,4,272,15,0.56,20260101
35000457,5300108,1,1,0.573,1,1,1,1,0,1,1,1,1,1,15,728,45,0.91,20260101
35000458,1302603,1,1,0.036,0,0,0,1,1,1,0,1,0,0,7,263,14,0.54,20260101
35000459,1501402,1,0,0.117,0,0,0,1,0,1,1,0,0,0,5,133,7,0.63,20260101
35000460,2111300,1,1,0.351,1,1,0,1,0,1,1,0,1,1,12,631,39,0.86,20260101
35000461,5002704,1,1,0.505,1,1,1,1,0,1,0,0,0,1,22,625,39,0.93,20260101
35000462,3550308,1,1,0.417,0,1,1,1,0,1,1,1,1,1,20,915,61,0.98,20260101
35000463,3509502,1,0,0.086,0,1,0,1,1,1,1,0,0,0,6,317,17,0.5,20260101
35000464,3549805,1,1,0.405,0,1,1,1,1,1,1,1,1,1,36,1727,123,0.97,20260101
35000465,3304557,1,1,0.08,0,0,0,1,0,1,0,0,0,0,9,176,9,0.64,20260101
35000466,3301702,0,0,0.084,0,0,0,0,1,1,0,0,0,0,10,98,5,0.73,20260101
35000467,3303302,1,1,0.442,1,1,1,1,0,1,1,0,1,1,31,983,65,0.95,20260101
35000468,3106200,1,1,0.367,1,1,0,1,0,1,1,1,0,1,21,331,20,0.83,20260101
35000469,3170206,1,1,0.612,1,1,0,1,1,1,1,0,1,1,22,596,37,0.85,20260101
35000470,3136702,0,0,0.07,0,1,0,1,1,1,1,0,0,1,8,241,13,0.66,20260101
35000471,4106902,1,1,0.381,1,1,1,1,0,1,1,1,1,1,25,810,54,0.92,20260101
35000472,4113700,0,0,0.109,0,1,0,1,1,1,0,0,0,1,7,250,13,0.59,20260101
35000473,4118204,1,1,0.141,0,0,0,0,0,1,0,1,0,0,5,277,15,0.67,20260101
35000474,4314902,1,1,0.033,0,0,0,0,1,1,1,1,0,0,5,214,11,0.71,20260101
35000475,4304606,1,1,0.557,0,1,1,1,1,1,1,1,1,1,45,1199,85,0.97,20260101
35000476,4316907,1,1,0.403,1,1,1,1,1,1,1,1,1,1,39,2689,192,0.95,20260101
35000477,4205407,0,0,0.096,0,1,0,0,1,1,0,1,0,0,4,308,17,0.65,20260101
35000478,4209102,1,1,0.109,0,1,0,1,1,1,0,0,0,1,6,188,10,0.52,20260101
35000479,4202404,1,1,0.297,1,1,1,1,0,1,1,0,1,1,32,998,66,0.97,20260101
35000480,2927408,1,1,0.355,0,1,1,1,1,1,1,1,1,1,54,1104,78,0.87,20260101
35000481,2910800,1,0,0.14,0,1,0,0,1,1,0,0,0,1,10,308,17,0.59,20260101
35000482,2933307,1,1,0.575,0,1,1,1,1,1,0,1,1,1,58,2126,151,0.97,20260101
35000483,2611606,1,1,0.343,1,1,1,1,1,1,0,1,1,1,39,2000,142,0.93,20260101
35000484,2609600,1,1,0.257,1,1,1,1,0,1,1,1,1,1,17,511,34,0.97,20260101
35000485,2611101,1,1,0.748,0,1,0,1,0,1,1,0,0,1,13,429,26,0.92,20260101
35000486,2304400,1,1,0.689,1,1,1,1,0,1,0,0,1,1,12,322,20,0.86,20260101
35000487,2304202,1,1,0.494,1,1,1,1,0,1,1,1,1,1,29,913,60,0.91,20260101
35000488,2313500,1,1,0.665,1,1,1,1,1,1,0,1,1,1,10,318,19,0.93,20260101
35000489,5208707,0,0,0.139,0,0,0,1,1,1,0,0,0,0,5,301,16,0.54,20260101
35000490,5300108,1,1,0.554,0,1,1,1,1,1,0,1,1,1,42,2555,182,0.96,20260101
35000491,1302603,1,1,0.139,0,0,0,1,1,1,0,1,0,0,9,126,7,0.53,20260101
35000492,1501402,1,1,0.074,0,0,0,1,1,1,1,0,0,0,11,90,5,0.65,20260101
35000493,2111300,1,1,0.406,1,1,1,1,1,1,1,1,1,1,49,2790,199,0.9,20260101
35000494,5002704,1,1,0.758,1,1,1,1,1,1,1,0,1,1,16,603,37,0.86,20260101
35000495,3550308,1,1,0.283,1,1,1,1,0,1,1,1,1,1,22,1009,67,0.91,20260101
35000496,3509502,1,1,0.392,1,1,1,1,1,1,0,1,1,1,47,1922,137,0.85,20260101
35000497,3549805,1,1,0.354,1,1,1,1,1,1,1,0,1,1,19,601,37,0.83,20260101
35000498,3304557,1,1,0.649,1,1,0,1,0,1,1,1,0,1,19,393,24,0.91,20260101
35000499,3301702,1,1,0.808,1,1,1,1,1,1,1,0,0,1,16,695,43,0.84,20260101
35000500,3303302,1,1,0.817,1,1,1,1,0,1,1,1,1,1,19,432,27,0.83,20260101
35000501,3106200,1,1,0.576,0,1,1,1,1,1,1,1,1,1,30,1703,121,0.93,20260101
35000502,3170206,1,1,0.274,1,1,1,1,0,1,1,1,1,1,32,923,61,0.91,20260101
35000503,3136702,1,1,0.386,1,1,1,1,1,1,1,1,1,1,53,1930,137,0.93,20260101
35000504,4106902,1,1,0.064,0,0,0,0,1,1,0,0,0,0,9,315,17,0.65,20260101
35000505,4113700,1,1,0.735,1,1,1,1,1,1,1,1,1,1,22,266,16,0.94,20260101
35000506,4118204,1,1,0.527,0,1,1,1,1,1,1,1,1,1,54,3116,222,0.89,20260101
35000507,4314902,1,1,0.832,1,1,0,1,1,1,1,1,0,1,17,354,22,0.8,20260101
35000508,4304606,1,1,0.566,1,1,1,1,1,1,1,1,1,1,44,3033,216,0.87,20260101
35000509,4316907,1,1,0.132,0,0,0,1,1,1,0,0,0,0,10,264,14,0.51,20260101
35000510,4205407,1,1,0.727,0,1,1,1,0,1,1,0,1,1,16,338,21,0.81,20260101
35000511,4209102,0,0,0.1,0,1,0,1,0,1,0,0,0,0,5,339,18,0.7,20260101
35000512,4202404,1,0,0.111,0,1,0,0,1,1,0,1,0,0,4,245,13,0.63,20260101
35000513,2927408,1,0,0.027,0,0,0,1,1,1,1,1,0,1,11,160,8,0.63,20260101
35000514,2910800,1,1,0.232,1,1,1,1,0,1,1,0,1,1,31,991,66,0.96,20260101
35000515,2933307,1,0,0.056,0,0,0,1,1,1,0,0,0,1,9,318,17,0.62,20260101
35000516,2611606,1,0,0.131,0,0,0,1,1,1,0,0,0,1,5,283,15,0.54,20260101
35000517,2609600,1,1,0.062,0,0,0,0,1,1,1,0,0,0,9,145,8,0.51,20260101
35000518,2611101,1,1,0.531,1,1,1,1,1,1,1,1,1,1,47,1395,99,0.93,20260101
35000519,2304400,1,1,0.318,1,1,1,1,1,1,1,1,1,1,28,1213,86,0.97,20260101
35000520,2304202,1,1,0.531,0,1,1,1,0,1,1,1,1,1,12,642,40,0.94,20260101
35000521,2313500,0,0,0.044,0,0,0,1,0,1,1,1,0,0,7,210,11,0.59,20260101
35000522,5208707,1,1,0.843,0,1,0,1,1,1,0,0,1,1,11,255,15,0.88,20260101
35000523,5300108,1,1,0.047,0,0,0,1,1,1,0,0,0,0,9,342,19,0.54,20260101
35000524,1302603,1,1,0.251,1,1,1,1,1,1,0,1,1,1,42,1555,111,0.86,20260101
35000525,1501402,1,1,0.81,1,1,0,1,0,1,1,0,1,1,17,385,24,0.87,20260101
35000526,2111300,1,1,0.441,0,1,1,1,0,1,1,1,1,1,29,681,45,0.91,20260101
35000527,5002704,1,1,0.403,1,1,0,1,1,1,1,0,1,1,21,446,27,0.88,20260101
35000528,3550308,1,1,0.395,1,1,1,1,0,1,1,1,1,1,21,765,51,0.92,20260101
35000529,3509502,1,1,0.435,0,1,0,1,1,1,0,1,0,1,20,353,22,0.82,20260101
35000530,3549805,1,1,0.559,1,1,1,1,1,1,1,1,1,1,42,2482,177,0.97,20260101
35000531,3304557,1,1,0.107,0,0,0,1,1,1,1,0,0,1,4,170,9,0.71,20260101
35000532,3301702,1,1,0.381,1,1,1,1,0,1,0,1,0,1,18,625,39,0.91,20260101
35000533,3303302,1,1,0.373,0,1,1,1,1,1,1,1,1,1,46,2711,193,0.91,20260101
35000534,3106200,1,1,0.572,1,1,0,1,1,1,1,0,1,1,13,623,38,0.84,20260101
35000535,3170206,1,1,0.373,1,1,1,1,0,1,1,0,1,1,33,520,34,0.93,20260101
35000536,3136702,1,1,0.081,0,0,0,0,1,1,1,0,0,0,10,115,6,0.69,20260101
35000537,4106902,1,1,0.395,1,1,1,1,0,1,1,1,1,1,30,1046,69,0.92,20260101
35000538,4113700,1,1,0.369,1,1,1,1,1,1,1,0,1,1,16,624,39,0.81,20260101
35000539,4118204,1,1,0.578,1,1,0,1,1,1,0,1,1,1,18,272,17,0.94,20260101
